datetime,wind_power,wind_speed,solar_power,solar_irradiation,temperature
2014-12-31 15:00:00+00,0.98974,6.5,0,0,3.7
2014-12-31 15:15:00+00,0.9690575,6.43125,0,0,4.16875
2014-12-31 15:30:00+00,0.9276925,6.29375,0,0,5.10625
2014-12-31 15:45:00+00,0.8863275,6.15625,0,0,6.04375
2014-12-31 16:00:00+00,0.8449625,6.01875,0,0,6.98125
2014-12-31 16:15:00+00,0.7802775,5.8375,0,0,8.01875
2014-12-31 16:30:00+00,0.6922725,5.6125,0,0,9.15625
2014-12-31 16:45:00+00,0.6042675,5.3875,0,0,10.29375
2014-12-31 17:00:00+00,0.5162625,5.1625,0,0,11.43125
2014-12-31 17:15:00+00,0.4723025,4.9625,0,0,12.0875
2014-12-31 17:30:00+00,0.4723875,4.7875,0,0,12.2625
2014-12-31 17:45:00+00,0.4724725,4.6125,0,0,12.4375
2014-12-31 18:00:00+00,0.4725575,4.4375,0,0,12.6125
2014-12-31 18:15:00+00,0.478925,4.35,0,0,12.68125
2014-12-31 18:30:00+00,0.491575,4.35,0,0,12.64375
2014-12-31 18:45:00+00,0.504225,4.35,0,0,12.60625
2014-12-31 19:00:00+00,0.516875,4.35,0,0,12.56875
2014-12-31 19:15:00+00,0.53583,4.38125,0,0,12.5375
2014-12-31 19:30:00+00,0.56109,4.44375,0,0,12.5125
2014-12-31 19:45:00+00,0.58635,4.50625,0,0,12.4875
2014-12-31 20:00:00+00,0.61161,4.56875,0,0,12.4625
2014-12-31 20:15:00+00,0.6179675,4.61875,0,0,12.44375
2014-12-31 20:30:00+00,0.6054225,4.65625,0,0,12.43125
2014-12-31 20:45:00+00,0.5928775,4.69375,0,0,12.41875
2014-12-31 21:00:00+00,0.5803325,4.73125,0,0,12.40625
2014-12-31 21:15:00+00,0.5992775,4.73125,0,0,12.3875
2014-12-31 21:30:00+00,0.6497125,4.69375,0,0,12.3625
2014-12-31 21:45:00+00,0.7001475,4.65625,0,0,12.3375
2014-12-31 22:00:00+00,0.7505825,4.61875,0,0,12.3125
2014-12-31 22:15:00+00,0.80717,4.6125,0,0,12.29375
2014-12-31 22:30:00+00,0.86991,4.6375,0,0,12.28125
2014-12-31 22:45:00+00,0.93265,4.6625,0,0,12.26875
2014-12-31 23:00:00+00,0.99539,4.6875,0,0,12.25625
2014-12-31 23:15:00+00,1.1490725,4.74375,0.009710148,0.007125006,12.2625
2014-12-31 23:30:00+00,1.3936975,4.83125,0.029130445,0.021375017,12.2875
2014-12-31 23:45:00+00,1.6383225,4.91875,0.048550742,0.035625029,12.3125
2015-01-01 00:00:00+00,1.8829475,5.00625,0.067971039,0.04987504,12.3375
2015-01-01 00:15:00+00,2.1299225,5.1375,0.092955384,0.070375057,12.3625
2015-01-01 00:30:00+00,2.3792475,5.3125,0.123503778,0.097125078,12.3875
2015-01-01 00:45:00+00,2.6285725,5.4875,0.154052172,0.123875099,12.4125
2015-01-01 01:00:00+00,2.8778975,5.6625,0.184600566,0.15062512,12.4375
2015-01-01 01:15:00+00,2.9188575,5.825,0.216153161,0.177000141,12.4625
2015-01-01 01:30:00+00,2.7514525,5.975,0.248709957,0.203000162,12.4875
2015-01-01 01:45:00+00,2.5840475,6.125,0.281266752,0.229000183,12.5125
2015-01-01 02:00:00+00,2.4166425,6.275,0.313823548,0.255000204,12.5375
2015-01-01 02:15:00+00,2.3429,6.30625,0.348674634,0.281000225,12.575
2015-01-01 02:30:00+00,2.36282,6.21875,0.38582001,0.307000246,12.625
2015-01-01 02:45:00+00,2.38274,6.13125,0.422965386,0.333000267,12.675
2015-01-01 03:00:00+00,2.40266,6.04375,0.460110762,0.359000288,12.725
2015-01-01 03:15:00+00,2.5286575,6.01875,0.480041061,0.3740003,12.775
2015-01-01 03:30:00+00,2.7607325,6.05625,0.482756282,0.378000303,12.825
2015-01-01 03:45:00+00,2.9928075,6.09375,0.485471503,0.382000305,12.875
2015-01-01 04:00:00+00,3.2248825,6.13125,0.488186724,0.386000309,12.925
2015-01-01 04:15:00+00,3.34056,6.20625,0.484198653,0.388500311,12.9625
2015-01-01 04:30:00+00,3.33984,6.31875,0.47350729,0.389500311,12.9875
2015-01-01 04:45:00+00,3.33912,6.43125,0.462815927,0.390500313,13.0125
2015-01-01 05:00:00+00,3.3384,6.54375,0.452124564,0.391500314,13.0375
2015-01-01 05:15:00+00,3.4271425,6.5875,0.437137692,0.384250308,13.05625
2015-01-01 05:30:00+00,3.6053475,6.5625,0.417855311,0.368750295,13.06875
2015-01-01 05:45:00+00,3.7835525,6.5375,0.39857293,0.353250283,13.08125
2015-01-01 06:00:00+00,3.9617575,6.5125,0.379290549,0.33775027,13.09375
2015-01-01 06:15:00+00,4.1259625,6.54375,0.35443119,0.319000255,13.0875
2015-01-01 06:30:00+00,4.2761675,6.63125,0.323994853,0.297000238,13.0625
2015-01-01 06:45:00+00,4.4263725,6.71875,0.293558516,0.27500022,13.0375
2015-01-01 07:00:00+00,4.5765775,6.80625,0.263122179,0.253000203,13.0125
2015-01-01 07:15:00+00,4.578395,6.875,0.230726285,0.225375181,12.975
2015-01-01 07:30:00+00,4.431825,6.925,0.196370835,0.192125154,12.925
2015-01-01 07:45:00+00,4.285255,6.975,0.162015384,0.158875127,12.875
2015-01-01 08:00:00+00,4.138685,7.025,0.127659934,0.1256251,12.825
2015-01-01 08:15:00+00,3.991725,7.01875,0.097293991,0.095875076,12.7625
2015-01-01 08:30:00+00,3.844375,6.95625,0.070917556,0.069625056,12.6875
2015-01-01 08:45:00+00,3.697025,6.89375,0.044541122,0.043375035,12.6125
2015-01-01 09:00:00+00,3.549675,6.83125,0.018164686,0.017125014,12.5375
2015-01-01 09:15:00+00,3.38712,6.775,0.00435441,0.003500003,12.43125
2015-01-01 09:30:00+00,3.20936,6.725,0.003110293,0.002500002,12.29375
2015-01-01 09:45:00+00,3.0316,6.675,0.001866176,0.001500001,12.15625
2015-01-01 10:00:00+00,2.85384,6.625,0.000622059,0.0005,12.01875
2015-01-01 10:15:00+00,2.79562,6.5625,0,0,11.9375
2015-01-01 10:30:00+00,2.85694,6.4875,0,0,11.9125
2015-01-01 10:45:00+00,2.91826,6.4125,0,0,11.8875
2015-01-01 11:00:00+00,2.97958,6.3375,0,0,11.8625
2015-01-01 11:15:00+00,2.917085,6.325,0,0,11.84375
2015-01-01 11:30:00+00,2.730775,6.375,0,0,11.83125
2015-01-01 11:45:00+00,2.544465,6.425,0,0,11.81875
2015-01-01 12:00:00+00,2.358155,6.475,0,0,11.80625
2015-01-01 12:15:00+00,2.11681,6.44375,0,0,11.7625
2015-01-01 12:30:00+00,1.82043,6.33125,0,0,11.6875
2015-01-01 12:45:00+00,1.52405,6.21875,0,0,11.6125
2015-01-01 13:00:00+00,1.22767,6.10625,0,0,11.5375
2015-01-01 13:15:00+00,1.0165825,5.94375,0,0,11.5
2015-01-01 13:30:00+00,0.8907875,5.73125,0,0,11.5
2015-01-01 13:45:00+00,0.7649925,5.51875,0,0,11.5
2015-01-01 14:00:00+00,0.6391975,5.30625,0,0,11.5
